file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
2.650000e+002,7.985141e-006,-1.019543e+002
2.662500e+002,2.224177e-005,-9.305661e+001
2.675000e+002,3.220629e-005,-8.984119e+001
2.687500e+002,2.113615e-005,-9.349948e+001
2.700000e+002,1.469610e-006,-1.166560e+002
2.712500e+002,4.362246e-006,-1.072058e+002
2.725000e+002,1.141816e-005,-9.884807e+001
2.737500e+002,8.087315e-006,-1.018439e+002
2.750000e+002,9.266820e-006,-1.006614e+002
2.762500e+002,2.366714e-005,-9.251708e+001
2.775000e+002,2.248655e-005,-9.296154e+001
2.787500e+002,2.456381e-005,-9.219409e+001
2.800000e+002,2.013190e-005,-9.392230e+001
2.812500e+002,1.955732e-005,-9.417381e+001
2.825000e+002,5.975809e-006,-1.044721e+002
2.837500e+002,3.189486e-005,-8.992559e+001
2.850000e+002,2.248851e-005,-9.296079e+001
2.862500e+002,4.355649e-006,-1.072189e+002
2.875000e+002,5.723747e-006,-1.048464e+002
2.887500e+002,1.810271e-006,-1.148451e+002
2.900000e+002,6.700794e-006,-1.034775e+002
2.912500e+002,1.121574e-005,-9.900344e+001
2.925000e+002,8.782095e-006,-1.011280e+002
2.937500e+002,7.040746e-006,-1.030476e+002
2.950000e+002,2.005769e-006,-1.139544e+002
2.962500e+002,4.015703e-006,-1.079248e+002
2.975000e+002,1.033389e-006,-1.197147e+002
2.987500e+002,1.613917e-006,-1.158424e+002
3.000000e+002,2.824029e-006,-1.109826e+002
3.012500e+002,2.629007e-006,-1.116042e+002
3.025000e+002,4.507030e-006,-1.069222e+002
3.037500e+002,1.786692e-006,-1.149590e+002
3.050000e+002,1.439354e-008,-1.568366e+002
3.062500e+002,3.551993e-007,-1.289906e+002
3.075000e+002,7.076795e-006,-1.030033e+002
